,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
87,UgzAK_fsuE4lXJ-nrAF4AaABAg,good info thank share,1 month ago,@superlarz,UCASxqcHf7LPiK1q4j-cPXgw,1,https://yt3.ggpht.com/ytc/AIf8zZSsqGzjcZvwLnp4dFNkdnOXRqIM_drn-nH2h6xP=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.39251
88,UgzjaQi6UZlv13oEIUN4AaABAg,when refinance 10 yrs get loan 10 yr ballon,1 month ago,@collierant,UCB-5gwz-mhdbiavJPGLnOJA,0,https://yt3.ggpht.com/ytc/AIf8zZRrxcmuNAi7Ti5fvib81a4QO8LvBhnr4ihy8w=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.393488
89,UgzY2eECI7sWTjUkvOl4AaABAg,can I use lender state be convenient since person probably do not know state well since local,1 month ago,@juanjosagas2706,UCw4inMk95ZoKO-HgRdjlUVw,0,https://yt3.ggpht.com/ytc/AIf8zZRS3RpcLrrkwydKVcoJ3lbYwDdXvLjcxSxE2gogtw=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.395477
90,Ugw0s4auEI4cPRHEZr54AaABAg,helpful,1 month ago,@Keithprestige,UColEjnerkxeIiDBqF64E3TQ,0,https://yt3.ggpht.com/ytc/AIf8zZQnA3LS82B12W0m5Q6EuR9EsDtotaYdo2FYzjg-kzE=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.396474
91,Ugza0nBcnz4oWecOF2V4AaABAg,could someone give information credit union give 3 loan,1 month ago,@jaimeroduner2009,UC3pJVIwg6VWJ3vk4fQQR5eg,0,https://yt3.ggpht.com/ytc/AIf8zZSVV27GW8DJfniBiWLbdfKuShB_v5ki3eG8Xbh_Pvj7Yn9iD942aBbUgWGtcOGn=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.397484
92,UgyKdB_w9EXGsROEQZ54AaABAg,what credit union offer 5 loan,1 month ago,@jlove4030,UC5s-L2TlGnw2Ki3Sb0udk7Q,0,https://yt3.ggpht.com/ytc/AIf8zZRJWp6CKFJJzueu8dQELY_FyV_CGaiWWH1a4w=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.398467
93,UgwqQxfeN6xQ_8Be9AN4AaABAg,be reason lender 3 Ik sound like basic question every business world undercut competition get business except lender,1 month ago,@Buttsac,UCVSV8kmtoRNrgWDIPqbDDEg,0,https://yt3.ggpht.com/jx7Z2F1cNvFNVykShUJL-pibDH_kvJudVBznvxXNf0292T_8gCaVeVR6aZ8qqqyYaHzxzs0Z4Q=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.399487
94,UgwK94vBCXpxFOvcLaV4AaABAg,buttdouble wait mean sometimes think look Daves buttbut nope notthere deception,1 month ago,@roundedges2,UC2QyY_qXUZeA6gbWu92kUbg,0,https://yt3.ggpht.com/ytc/AIf8zZSTtff_edqJq1Si-quqdaK0DDS2adNtZjj09A=s176-c-k-c0x00ffffff-no-rj,False,False,1702779233.400459
95,UgwZs87mNUA5KkFLtyd4AaABAg.9xRaA8vZVUl9xTC_RyE_F1,have speak DSCR lender finance 1099 individual they want see income least one year,1 month ago,@RentToRetirement,UC_h1lnz1kM75Gj79VV8QtEg,1,https://yt3.ggpht.com/4r48relcULJPr61jgu7Vckc04c5UZ2eIMQ4737C1HVXPVWtU0zAkXluKyySCY9tZ7q_QDtZAc-M=s176-c-k-c0x00ffffff-no-rj,False,True,1702779233.630348
96,UgwZs87mNUA5KkFLtyd4AaABAg.9xRaA8vZVUl9xagnrD0f5l,RentToRetirement let google thank much,1 month ago,@strongmindtransportllc,UC5loxiJvXRgMrxLLptMKjBA,0,https://yt3.ggpht.com/7BwsWsxyAOODSU35Kxr-AvmvKdDpNDwrPh_XsgSIQPw5AhdTsE7cmBZb55rjssTNeS1ttmpV=s176-c-k-c0x00ffffff-no-rj,False,True,1702779233.632341
